Berikut adalah penyusunan ulang struktur menu sidebar yang telah dirapikan sepenuhnya. Seluruh ikon visual telah dihapus untuk tampilan yang lebih bersih, dan penempatan menu telah disesuaikan tepat berdasarkan unit kerja, fungsi jabatan, serta tugas tambahan.

---

### MATRIKS AKSES AKSES UTAMA PER ROLE

| Role / Kelompok Menu | Fungsi & Target Pengguna |
| --- | --- |
| **DASHBOARD** | Ringkasan informasi operasional sesuai hak akses pengguna. |
| **PIMPINAN** | Mudir, Wadir 1, Wadir 2 untuk pengawasan, SK, dan persetujuan tingkat atas. |
| **SATUAN PENDIDIKAN** | Kepsek, Waka Satdik, Guru (Umum, Agama, Hadits, Bahasa), Tim/Koordinator Kurikulum & Kesiswaan, Wali Kelas, Pembina Ekskul. |
| **ASRAMA** | Kepala & Wakil Kepala Asrama, Perizinan, Musrif/Musrifah, Wali Kamar, Wali Asrama, Staf Asrama. |
| **UKS** | Kepala UKS, Staf UKS Putra/Putri, Admin UKS Putra/Putri. |
| **DEPARTEMEN TAHFIDZ** | Kepala, Wakil Kepala, TU Dept. Tahfidz, Koordinator & Guru Tahfidz. |
| **DEPARTEMEN BAHASA** | Kepala, Wakil Kepala, TU Dept. Bahasa, Koordinator & Guru Bahasa Arab. |
| **HUMAS DAN PERSONALIA** | Kepala Humas & Personalia, Ka. Humas, Ka. Personalia, Staf Humas, Staf Personalia. |
| **TATA USAHA DAN TATA KELOLA** | Kepala TU, Staf Tata Usaha, Operator Sekolah. |
| **UNIT RUMAH TANGGA DAN SARPRAS** | Kepala URT, Koordinator Sarpras, TU URT, Staf URT/Kebersihan, Koordinator Sarpras Satdik. |
| **KEUANGAN** | Kepala Keuangan, Staf Keuangan, Bendahara, Bendahara Sekolah. |
| **PERPUSTAKAAN** | Koordinator Perpustakaan, Staf Perpustakaan. |
| **SATUAN KEAMANAN** | Kepala, Koordinator, Anggota Satuan Keamanan. |
| **TEKNOLOGI INFORMASI** | Kepala Unit IT, Staf IT, Teknisi Jaringan. |
| **UNIT PELAYANAN GIZI** | Kepala Unit Gizi & Logistik, Koordinator Logistik, Staf Gizi & Logistik. |
| **ALUMNI** | Pengelola Alumni, Humas, Kesiswaan. |
| **SUPER ADMIN DAN SYSTEM** | System Administrator, IT Manager. |
| **PROFIL DAN UTILITY** | Seluruh Pegawai / Pengguna Sistem. |

---

### STRUKTUR DETAIL SIDEBAR MENU DAN ROUTE

#### DASHBOARD

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Dashboard Utama | Semua Pengguna | `user.dashboard` |
| Dashboard GTK / Guru | Guru Umum, Agama, Hadits, Bahasa, Tahfidz | `user.dashboard.gtk` |
| Dashboard Admin TU | Kepala TU & Staf Tata Usaha | `user.dashboard.admin-tu` |
| Dashboard Admin Asrama | Admin & Staf Asrama | `user.dashboard.admin-asrama` |
| Dashboard Wali Asrama | Wali Asrama & Wali Kamar | `user.dashboard.wali-asrama` |
| Dashboard Kepala Asrama | Kepala & Wakil Kepala Asrama | `user.dashboard.asrama` |
| Dashboard Pengasuh | Musrif & Musrifah | `user.dashboard.pengasuh` |
| Dashboard Boarding Head | Boarding Head / Kepala Pengasuhan | `user.dashboard.boarding-head` |
| Dashboard Pendidikan Asrama | Penanggung Jawab Education Boarding | `user.dashboard.boarding-education` |
| Dashboard Kesehatan Asrama | Penanggung Jawab Health Boarding | `user.dashboard.boarding-health` |
| Dashboard Operator TU | Operator Sekolah & Waka | `user.operator.dashboard` |
| Intelligence Dashboard | Mudir, Wadir, Kepala URT | `sarpras.dashboard.inteligence` |

---

#### PIMPINAN

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| SK & Kebijakan Institusi | Mudir, Wadir 1, Wadir 2 | `user.institution-decrees.*` |
| Dokumen & Standar ISO | Mudir, Wadir 1, Wadir 2 | `user.dokumen-iso.*` |
| Pusat Persetujuan (Approvals) | Mudir, Wadir 1, Wadir 2 | `user.approvals.*` |
| Laporan Presensi Pegawai | Mudir, Wadir 1, Wadir 2 | `user.laporan.presensi` |
| Laporan Rekap Santri | Mudir, Wadir 1, Wadir 2 | `user.laporan.santri` |
| Laporan Rekap GTK | Mudir, Wadir 1, Wadir 2 | `user.laporan.gtk` |
| Laporan Ringkasan Keuangan | Mudir, Wadir 2 | `user.laporan.keuangan` |
| Laporan Operasional Asrama | Mudir, Wadir 1 | `user.laporan.asrama` |

---

#### SATUAN PENDIDIKAN

##### 1. Pembelajaran & Operasional Guru

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Absensi QR Code Guru | Guru Umum, Agama, Hadits, Bahasa, Tahfidz | `user.teacher-qr.*` |
| Kalender Akademik (Kaldik) | Kepsek, Waka Satdik, Koord. Kurikulum | `user.kaldik.index` |
| Jadwal KBM | Tim Kurikulum, Guru Mapel | `user.jadwal-kbm.*` |
| Pekan Efektif | Tim Kurikulum | `waka.pekan-efektif.*` |
| Master Mata Pelajaran | Kepsek, Waka Satdik | `user.subjects.*` |
| Pembagian Tugas Mengajar | Waka Satdik, Tim Kurikulum | `user.teaching-assignments.*` |
| Buku Admin Guru Mapel | Guru Mapel | `user.guru-mapel.*` |
| Supervisi Akademik | Kepsek, Waka Satdik | `waka.supervisi.*` |

##### 2. Evaluasi & Penilaian

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Kisi-Kisi Soal | Guru Mapel, Tim Kurikulum | `user.kisi-kisi-soal.*` |
| Bank Soal | Guru Mapel, Tim Kurikulum | `user.bank-soal.*` |
| Master Soal | Guru Mapel | `user.soal.*` |
| Paket Soal Ujian | Tim Kurikulum, Guru Mapel | `user.paket-soal.*` |
| Kriteria Tuntas (KKTP/KKM) | Tim Kurikulum, Guru Mapel | `user.kktp.*` |
| Input Nilai Siswa | Guru Mapel, Wali Kelas | `user.nilai.*` |
| Nilai Kelas & Leger | Wali Kelas, Waka Satdik | `user.nilai-kelas.*` |
| Kalkulasi Nilai Akhir | Tim Kurikulum | `user.kalkulasi-nilai.*` |

##### 3. Kesiswaan, Ekstrakurikuler & Wali Kelas

| Nama Menu | Target Akses | Route Name |
| --- | --- | --- |
| Data Santri / Siswa | Waka Kesiswaan, Tim Kesiswaan, Wali Kelas | `user.students.*` |
